PDBCode,Resolution,Affinity,pKd pKi pIC50,Release Year,Enzyme,Ligand,Ecnumber,PubmedID,PubchemSID,Reference,UniProtKB AC,AffinityType,RootNumb,AffinityGivenUnits,Affinity_uM
1AG9,1.8,Kd=1nM,9.0,1997,FLAVODOXIN,FMN,E.C.-.-.-.-,9416602.0,46391423,"Protein Sci. v6 pp. 2525-37, 1997",P61949,Kd,1.0,nM,0.001
1AKQ,1.9,Kd=0.79nM,9.1000004,1998,FLAVODOXIN,FMN ox,E.C.-.-.-.-,9874201.0,46391441,"Eur.J.Biochem. v258 pp. 362-71, 1998",P00323,Kd,0.79,nM,0.00079
1AKR,1.58,Kd=0.82nM,9.090000199999999,1998,FLAVODOXIN,FMN ox,E.C.-.-.-.-,9622492.0,46391442,"Biochemistry v37 pp. 8405-16, 1998",P00323,Kd,0.82,nM,0.00082
1AKT,1.8,Kd=3.2nM,8.489999800000001,1998,FLAVODOXIN,FMN ox,E.C.-.-.-.-,9622492.0,46391443,"Biochemistry v37 pp. 8405-16, 1998",P00323,Kd,3.2,nM,0.0032
1AKU,1.9,Kd=746nM,6.130000099999999,1998,FLAVODOXIN,FMN hq,E.C.-.-.-.-,,46391444,Biochemistryv41;pp.10950-10962,P00323,Kd,746.0,nM,0.746
1AKV,2.0,Kd=0.0026nM,11.59,1998,FLAVODOXIN,FMN sq,E.C.-.-.-.-,,46391445,Biochemistryv41;pp.10950-10962,P00323,Kd,0.0026,nM,2.5999999999999997e-06
1AKW,1.75,Kd=2.6nM,8.590000199999999,1998,FLAVODOXIN,FMN ox,E.C.-.-.-.-,9622492.0,46391446,"Biochemistry v37 pp. 8405-16, 1998",P00323,Kd,2.6,nM,0.0026
1AZL,1.8,Kd=2.4nM,8.619999900000002,1998,FLAVODOXIN,FMN ox,E.C.-.-.-.-,9622492.0,46391484,"Biochemistry v37 pp. 8405-16, 1998",P00323,Kd,2.4,nM,0.0024
1BKJ,1.8,Kd=0.17uM,6.77,1999,NADPH-FLAVIN OXIDOREDUCTASE,FMN,E.C.1.6.8.1,8885832.0,46391550,"Biochemistry v35 pp. 13531-9, 1996",Q56691,Kd,0.17,uM,0.17
1C7E,2.25,Kd=505nM,6.3000002,2000,FLAVODOXIN,FMN hq,E.C.-.-.-.-,12206666.0,46391632,"Biochemistry v41 pp. 10950-62, 2002",P00323,Kd,505.0,nM,0.505
1C7F,2.0,Kd=0.30nM,9.5200005,2000,FLAVODOXIN,FMN ox,E.C.-.-.-.-,12206666.0,46391633,"Biochemistry v41 pp. 10950-62, 2002",P00323,Kd,0.3,nM,0.0003
1CZK,1.9,Kd=1.5nM,8.819999699999999,1999,FLAVODOXIN,FMN ox,E.C.-.-.-.-,10610792.0,46391684,"J.Mol.Biol. v294 pp. 725-43, 1999",P10340,Kd,1.5,nM,0.0015
1CZL,1.8,Kd=0.71nM,9.1499996,1999,FLAVODOXIN,FMN sq,E.C.-.-.-.-,10610792.0,46391685,"J.Mol.Biol. v294 pp. 725-43, 1999",P10340,Kd,0.71,nM,0.0007099999999999999
1CZO,1.85,Kd=28uM,4.5500002,1999,FLAVODOXIN,FMN hq,E.C.-.-.-.-,10610792.0,46391686,"J.Mol.Biol. v294 pp. 725-43, 1999",P10340,Kd,28.0,uM,28.0
1CZR,1.9,Kd=1.0nM,9.0,1999,FLAVODOXIN,FMN ox,E.C.-.-.-.-,10610792.0,46391687,"J.Mol.Biol. v294 pp. 725-43, 1999",P10340,Kd,1.0,nM,0.001
1D04,1.85,Kd=26uM,4.5900002,1999,FLAVODOXIN,FMN hq,E.C.-.-.-.-,10610792.0,46391688,"J.Mol.Biol. v294 pp. 725-43, 1999",P10340,Kd,26.0,uM,26.0
1E6E,2.3,Kd=0.86uM,6.0700002,2001,ADRENOXIN REDUCTASE,Adrenoxin,E.C.1.18.1.2,11053423.0,0,(2004) J Biol Chem 279:34269-34276,P00257 P08165,Kd,0.86,uM,0.86
1EWY,2.3800001,Kd=3.57nM,8.4499998,2001,FERREDOXIN REDUCTASE,Ferredoxin,E.C.1.18.1.2,11053838.0,0,(1991) Arch Biochem Biophys 288:231-238,P0A3C8 P21890,Kd,3.57,nM,0.00357
1FLM,1.3,Kd=0.43nM,9.369999900000002,2000,FMN-BINDING PROTEIN,FMN,E.C.-.-.-.-,10713530.0,46391904,"Acta Crystallogr., Sect.D v56 pp. 368-71, 2000",Q46604,Kd,0.43,nM,0.00043
1H60,1.6,Kd=20uM,4.6999998,2001,PENTAERYTHRITOL TETRANITRATE REDUCTASE,STR,E.C.-.-.-.-,11428899.0,46392093,"J.Mol.Biol. v310 pp. 433-47, 2001",P71278,Kd,20.0,uM,20.0
1H61,1.4,Kd=13uM,4.8899999,2001,PENTAERYTHRITOL TETRANITRATE REDUCTASE,PDN,E.C.-.-.-.-,11428899.0,46392094,"J.Mol.Biol. v310 pp. 433-47, 2001",P71278,Kd,13.0,uM,13.0
1H62,1.9,Kd=17uM,4.77,2001,PENTAERYTHRITOL TETRANITRATE REDUCTASE,ANB,E.C.-.-.-.-,11428899.0,46392095,"J.Mol.Biol. v310 pp. 433-47, 2001",P71278,Kd,17.0,uM,17.0
1K03,2.7,Kd=1uM,6.0,2001,NADPH DEHYDROGENASE 1,HBA,E.C.1.6.99.1,11668181.0,46392322,"J.Biol.Chem. v277 pp. 2138-45, 2002",Q02899,Kd,1.0,uM,1.0
1KYV,2.4000001,Kd=1.2uM,5.920000099999999,2002,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE",RBF,E.C.2.5.1.9,12083520.0,46392395,"J.Mol.Biol. v318 pp. 1317-29, 2002",Q9UUB1,Kd,1.2,uM,1.2
1L5R,2.0999999,Kd=17uM,4.77,2002,GLYCOGEN PHOSPHORYLASE,RBF,E.C.2.4.1.1,12204691.0,46392402,"Chem.Biol. v9 pp. 915-24, 2002",P06737,Kd,17.0,uM,17.0
1NOX,1.59,Kd=90nM,7.0500002,1997,NADH OXIDASE,FMN,E.C.1.6.99.3,8846223.0,46392643,"Nat.Struct.Biol. v2 pp. 1109-14, 1995",Q60049,Kd,90.0,nM,0.09
1O94,2.0,Kd=5uM,5.3010302000000005,2003,TRIMETHYLAMINE DEHYDROGENASE TMADH,2 electron transferring flavoprotein (ETF),E.C.1.5.99.7,12567183.0,0,(2003) Nat.Struct.Biol. Vol. 10: pp. 219,P16099 P53570 P53571,Kd,5.0,uM,5.0
1O95,3.7,Kd=5uM,5.3010302000000005,2003,TRIMETHYLAMINE DEHYDROGENASE TMADH,2 electron transferring flavoprotein (ETF),E.C.1.5.99.7,12567183.0,0,(2003) Nat.Struct.Biol. Vol. 10: pp. 219,P16099 P53570 P53571,Kd,5.0,uM,5.0
1WVE,1.85,Kd=7nM,8.154902499999999,2005,4-CRESOL DEHYDROGENASE [HYDROXYLATING] FLAVOPROTEIN SUBUNIT,4-cresol dehydrogenase [hydroxylating] cytochrome c subunit,E.C.1.17.99.1,15723539.0,0,(2005) Biochemistry Vol. 44: pp. 2963-2973,P09787 P09788,Kd,7.0,nM,0.007
2CCB,1.65,Kd=35.76nM,7.4499998,2006,DODECIN,RBF,E.C.-.-.-.-,,46393994,J.Mol.Biol.v357;pp.842,B0R5M0,Kd,35.76,nM,0.03576
2A58,2.8,Kd=12.0uM,4.920000099999999,2005,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE",RBF,E.C.2.5.1.9,15265040.0,46393781,"Eur.J.Biochem. v271 pp. 3208-14, 2004",Q9UUB1,Kd,12.0,uM,12.0
2BMV,2.1099999,Kd=10mM,2.0,2006,FLAVODOXIN,BEN,E.C.-.-.-.-,17623845.0,0,(2007) Proteins Vol. 69: pp. 581,O25776,Kd,10.0,mM,10000.0
2F5Z,2.1800001,Kd=0.78nM,9.1099997,2006,DIHYDROLIPOAMIDE DEHYDROGENASE (E3),E3-Binding Domain,E.C.1.8.1.4,16442803.0,0,"Structure (London) (2006) 14, pp. 611-21",O00330 P09622,Kd,0.78,nM,0.00078
2FL5,3.0,Kd=1.8nM,8.739999800000001,2006,IMMUNOGLOBULIN IGG1 LAMBDA LIGHT CHAIN,RBF,E.C.-.-.-.-,16537445.0,46394126,"Proc.Natl.Acad.Sci.Usa v103 pp. 3581-5, 2006",P01780 Q5FWF9 P01861,Kd,1.8,nM,0.0018
2JBV,1.86,Kd=0.29mM,3.5376019,2007,CHO-WT,FAO,E.C.1.1.3.17,18072756.0,87557135,(2008) Biochemistry Vol. 47: pp. 243,Q7X2H8,Kd,0.29,mM,290.0
2RBF,2.25,Kd=210nM,6.6777811,2008,BIFUNCTIONAL PROTEIN PUTA(1-52),"operator DNA O2(operator 2, 21-bp)",E.C.-.-.-.-,18586269.0,0,(2008) J.Mol.Biol. Vol. 381: pp. 174-188,P09546,Kd,210.0,nM,0.21
2V3B,2.45,Kd=5uM,5.3000002,2007,RUBREDOXIN REDUCTASE,RUBREDOXIN,E.C.-.-.-.-,17636129.0,0,"Proc. Natl. Acad. Sci. USA 96 (2007) 104, pp. 12276-81",Q9HTK8 Q9HTK9,Kd,5.0,uM,5.0
2VX9,1.65,Kd=36nM,7.440000099999999,2009,H. SALINARUM DODECIN E45A MUTANT,RBF,E.C.-.-.-.-,19224924.0,0,(2009) J.Biol.Chem. Vol. 284: pp. 13068-13076,B0R5M0,Kd,36.0,nM,0.036
2VXA,2.5999999,Kd=2.5uM,5.5999999,2009,H.HALOPHILA DODECIN,RBF,E.C.-.-.-.-,19224924.0,0,(2009) J.Biol.Chem. Vol. 284: pp. 13068-13076,A1WUH0,Kd,2.5,uM,2.5
2XCG,1.9,Kd=9nM,8.050000200000001,2010,AMINE OXIDASE [FLAVIN-CONTAINING] B,XCG,E.C.1.4.3.4,20855894.0,0,(2010) J.Biol.Chem. Vol. 285: pp. 36849-36856,P27338,Kd,9.0,nM,0.009
2XRZ,2.2,Kd=44nM,7.360000099999999,2011,ARCHAEAL CLASS II DNA PHOTOLYASE,UV-damaged duplex DNA,E.C.4.1.99.3,21892138.0,0,(2011) Embo J. Vol. 30: pp. 4437,Q8PYK9,Kd,44.0,nM,0.044
2YVJ,1.9,Kd=294uM,3.53,2007,FERREDOXIN REDUCTASE,Biphenyl dioxygenase ferredoxin subunit,E.C.1.18.1.2,17850818.0,0,J.Mol.Biol.  373: 382-400,Q52437 Q52440,Kd,294.0,uM,294.0
3AD7,2.2,Kd=3.01mM,2.52,2010,WILD-TYPE HETEROTETRAMERIC SARCOSINE OXIDASE (SO) FROM CORYNEBACTERIUM SP. U-96,MTG,E.C.1.5.3.1,20675294.0,0,(2010) J.Biochem. Vol. 148(4): pp. 491-505,Q50LE9 Q50LF0 Q50LF1 Q50LF2,Kd,3.01,mM,3010.0
3AD8,2.2,Kd=0.69mM,3.1600001,2010,WILD-TYPE HETEROTETRAMERIC SARCOSINE OXIDASE (SO) FROM CORYNEBACTERIUM SP. U-96,PYC,E.C.1.5.3.1,20675294.0,0,(2010) J.Biochem. Vol. 148(4): pp. 491-505,Q50LE9 Q50LF0 Q50LF1 Q50LF2,Kd,0.69,mM,690.0
3CVV,2.0999999,Kd=8.6uM,5.0655016999999996,2009,DROSOPHILA MELANOGASTER (6-4) PHOTOLYASE,FO1,E.C.-.-.-.-,19570997.0,0,(2009) Proc.Natl.Acad.Sci.USA Vol. 106: pp. 11540-11545,Q8SXK5,Kd,8.6,uM,8.6
3E5U,1.83,Kd=1.4uM,5.8538718,2008,CYCLIC NUCLEOTIDE-BINDING PROTEIN(C200S),3C4,E.C.-.-.-.-,18717788.0,87557767,(2008) Mol.Microbiol. Vol. 70: pp. 151-167,B8FW11,Kd,1.4,uM,1.4
3FGC,2.3,Kd=120uM,3.9200001,2009,"ALKANAL MONOOXYGENASE, BACTERIAL LUCIFERASE",FMN,E.C.1.14.14.3,19435287.0,0,(2009) Biochemistry Vol. 48: pp. 6085-6094,P07739 P07740,Kd,120.0,uM,120.0
3LB8,2.5999999,Kd=66uM,4.1799998,2010,PUTIDAREDOXIN REDUCTASE,"Putidaredoxin (C73S, C85S mutant)",E.C.1.18.1.-,20179327.0,0,(2010) J.Biol.Chem. Vol. 285: pp. 13616-13620,P00259 P16640,Kd,66.0,uM,66.0
3MHP,1.7,Kd=2.75uM,5.5599999,2010,"FERREDOXIN--NADP REDUCTASE, LEAF ISOZYME, CHLOROPLASTIC",26-mer,E.C.1.18.1.2,20974920.0,0,(2010) Proc.Natl.Acad.Sci.USA Vol. 107: pp. 19260-19265,P10933 Q8SKU2,Kd,2.75,uM,2.75
3NRZ,1.8,Kd=4.6uM,5.3400002,2010,XANTHINE DEHYDROGENASE/OXIDASE,HPA,E.C.1.17.1.4,20615869.0,0,(2010) J.Biol.Chem. Vol. 285: pp. 28044-28053,P80457,Kd,4.6,uM,4.6
3WKT,4.3000002,Kd=0.1uM,7.0,2014,"RAT CPR VARIANT, DELTA TGEE","Heme oxygenase 1, heme-HO-1",E.C.1.6.2.4,24550278.0,0,(2014) Proc.Natl.Acad.Sci.USA Vol. 111: pp. 2524-2529,P00388 P06762,Kd,0.1,uM,0.1
4D1Y,2.5999999,Kd=74nM,7.130000099999999,2014,PUTATIVE PROTEASE FROMBACTEROIDES THETAIOTAOMICRON (PPBAT),RBF,E.C.-.-.-.-,25263158.0,0,(2014) Biochim.Biophys.Acta Vol. 1844: pp. 2298-2305,Q8A8A4,Kd,74.0,nM,0.074
4GU0,3.0999999,Kd=0.741uM,6.130000099999999,2013,"LYSINE-SPECIFIC HISTONE DEMETHYLASE 1B, LSD2",wt Histone H3.3 (2-27),E.C.1.-.-.-,23357850.0,0,(2013) Cell Res. Vol. 23: pp. 306-309,Q8NB78 P84243,Kd,0.741,uM,0.741
4GUR,2.51,Kd=0.68uM,6.170000099999999,2013,COMPLEX OF LSD2 AND WILD-TYPE NPAC IN SPACE GROUP P21,H3K4M,E.C.1.-.-.-,23260659.0,0,(2013) Mol.Cell Vol. 49: pp. 558-570,Q49A26 Q8NB78 P84243,Kd,0.68,uM,0.68
4ZZD,2.3499999,Kd=0.25uM,6.599999900000001,2015,MULTI-DRUG BINDING REPRESSOR LMRR,RBF,E.C.-.-.-.-,26267906.0,0,(2015) Plos One Vol. 10: pp. 1-17,A2RI36,Kd,0.25,uM,0.25
5DJT,1.4,Kd=17nM,7.77,2016,LOV2 DARK STATE (C450A MUTANT),"Engineered protein, Zdk2 affibody",E.C.-.-.-.-,27427858.0,0,(2016) Nat.Methods Vol. 13: pp. 755-758,O49004,Kd,17.0,nM,0.017
5DJU,2.0999999,Kd=11.4nM,7.940000099999999,2016,LOV2 DARK STATE (C450A MUTANT),"Engineered protein, Zdk3 affibody",E.C.-.-.-.-,27427858.0,0,(2016) Nat.Methods Vol. 13: pp. 755-758,O49004,Kd,11.4,nM,0.0114
5L3E,2.8,Kd=660nM,6.1799998,2016,LSD1-COREST1 COMPLEX,E11,E.C.1.-.-.-,27626075.0,0,(2016) Sci Adv Vol. 2: pp. e1601017-e1601017,O60341 Q9UKL0,Kd,660.0,nM,0.66
5L3F,3.5,Kd=463nM,6.329999900000001,2016,LSD1-COREST1 COMPLEX,11-mer,E.C.1.-.-.-,27626075.0,0,(2016) Sci Adv Vol. 2: pp. e1601017-e1601017,O60341 Q9UKL0,Kd,463.0,nM,0.463
5L3G,3.0999999,Kd=594nM,6.23,2016,LSD1-COREST1 COMPLEX,11-mer,E.C.1.-.-.-,27626075.0,0,(2016) Sci Adv Vol. 2: pp. e1601017-e1601017,O60341 Q9UKL0,Kd,594.0,nM,0.594
